City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,San Pedro,PH,78.01,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
3,Trelew,AR,79.56,overcast clouds,-43.25,-65.31,Hotel Touring Club
4,Arraial Do Cabo,BR,80.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
5,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
6,Tarsus,TR,64.4,clear sky,36.92,34.88,Osmanli Marco Pasha Hotel
11,Faanui,PF,78.33,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Broome,US,69.8,clear sky,42.25,-75.83,Chenango Valley State Park
15,Westport,US,73.99,clear sky,41.14,-73.36,The Westport Inn
16,Tocopilla,CL,67.96,few clouds,-22.09,-70.2,Hotel Galvarino
17,Carnarvon,AU,66.2,clear sky,-24.87,113.63,Hospitality Carnarvon
18,Port Alfred,ZA,61.54,overcast clouds,-33.59,26.89,The Halyards Hotel
19,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
20,Hambantota,LK,75.2,light rain,6.12,81.12,Bungalow 63
21,Gizo,SB,82.6,light rain,-8.1,156.84,Imagination Island
22,Morgantown,US,75.99,clear sky,39.63,-79.96,Morgantown Marriott at Waterfront Place
23,Moron,AR,71.01,light rain,-34.65,-58.62,Hotel Morón
24,Vila Franca Do Campo,PT,64.4,scattered clouds,37.72,-25.43,Pestana Bahia Praia
27,Yakuplu,TR,63.0,clear sky,40.99,28.68,ibis Istanbul Esenyurt
35,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
37,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
38,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
41,Shreveport,US,82.0,overcast clouds,32.53,-93.75,Eldorado Resort Casino Shreveport
43,Rikitea,PF,73.98,broken clouds,-23.12,-134.97,Pension Maro'i
46,Cidreira,BR,66.83,moderate rain,-30.18,-50.21,Hotel Castelo
50,Peniche,PT,60.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
51,Waw,SS,77.74,clear sky,7.7,28.0,Universal Gab Hotel
52,Goderich,CA,73.4,clear sky,43.75,-81.72,Harmony Inn
54,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Avera,US,80.6,broken clouds,33.19,-82.53,
59,Castro,BR,81.14,scattered clouds,-24.79,-50.01,CHACARA BAILLY
62,Glens Falls,US,69.01,clear sky,43.31,-73.64,Super 8 by Wyndham Queensbury Glens Falls
68,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
70,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
73,Florida,US,77.0,overcast clouds,28.75,-82.5,Sportsmens Cove
75,Roma,US,73.4,clear sky,43.21,-75.46,Wingate By Wyndham Rome
77,Lata,PT,60.01,clear sky,40.16,-8.33,Casa Maquia
78,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
79,Albany,US,70.0,clear sky,42.6,-73.97,
80,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
81,Codrington,AU,65.44,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
84,Kasaragod,IN,78.8,mist,12.5,75.0,Thalathoor Heritage
85,Port Blair,IN,80.65,scattered clouds,11.67,92.75,Fortune Resort Bay Island
86,Victoria,HK,73.0,overcast clouds,22.29,114.16,Mini Hotel Central
87,Capim Grosso,BR,82.45,clear sky,-11.38,-40.01,Hotel Veloso
88,Karwar,IN,74.57,clear sky,14.8,74.13,Netalco Connects
91,Faya,SA,64.4,clear sky,18.39,42.45,مقبرة ال مجمل
93,Nabire,ID,75.85,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
94,Hyderabad,IN,64.4,clear sky,17.38,78.47,"Taj Krishna, Hyderabad"
98,Cabo San Lucas,MX,84.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
99,Dinguiraye,GN,75.31,clear sky,11.3,-10.72,
106,Erzin,TR,70.0,clear sky,36.96,36.2,Artemis Otel
109,Butaritari,KI,82.4,overcast clouds,3.07,172.79,Isles Sunset Lodge
112,Port Hedland,AU,75.2,clear sky,-20.32,118.57,The Esplanade Hotel
113,Atuona,PF,77.95,few clouds,-9.8,-139.03,Villa Enata
115,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
118,Mar Del Plata,AR,73.4,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
119,Hit,IQ,68.14,clear sky,33.64,42.83,Aboody Alhachem
122,Bethel,US,75.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
125,Quang Ngai,VN,71.71,very heavy rain,15.12,108.8,Central Hotel
126,Saint-Philippe,RE,73.4,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
127,Sao Joao Da Barra,BR,84.2,few clouds,-21.64,-41.05,Pousada Porto De Canoas
129,Dehloran,IR,77.32,overcast clouds,32.69,47.27,کافه گیم استورم
130,Aurangabad,IN,63.01,clear sky,19.88,75.33,Vivanta Aurangabad
139,Mopti,ML,82.65,clear sky,14.67,-4.0,
140,Sterling,US,75.99,few clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
141,Beloha,MG,78.3,clear sky,-25.17,45.05,
142,Rey Bouba,CM,78.71,clear sky,8.67,14.18,
143,Bengkulu,ID,75.92,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
146,Celestun,MX,79.34,light rain,20.87,-90.4,Posada Lilia
148,Chuy,UY,66.78,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
149,Jamestown,US,71.6,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
152,Rawson,AR,74.61,overcast clouds,-43.3,-65.1,Hotel Punta León
153,Koungou,YT,77.0,clear sky,-12.73,45.2,Villa Netibor
154,Nepa Nagar,IN,64.72,clear sky,21.47,76.4,Rest House Hilltop
155,Izazi,TZ,69.8,scattered clouds,-7.2,35.73,
157,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
159,Springdale,US,75.99,broken clouds,36.19,-94.13,Springdale Inn
160,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
161,Melbourne,US,81.0,mist,28.08,-80.61,"Hilton Melbourne, FL"
162,Praia,CV,80.6,clear sky,14.92,-23.51,LT Aparthotel
164,Bonthe,SL,79.39,scattered clouds,7.53,-12.51,Bonthe Holiday Village
166,Tiarei,PF,80.6,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
168,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
170,Kavaratti,IN,83.03,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
173,Tumpat,MY,75.2,few clouds,6.2,102.17,OYO 44005 Senangin Resort & Cafe
178,Nanakuli,US,82.4,scattered clouds,21.39,-158.15,Camp Pālehua
179,Angoche,MZ,79.34,clear sky,-16.23,39.91,Guest House HESADA
186,Longonjo,AO,68.47,few clouds,-12.91,15.25,
187,Katakwi,UG,70.84,broken clouds,1.89,33.97,Ebenezer Guest House
188,Tenango,MX,79.0,clear sky,18.65,-98.18,
189,Broken Hill,AU,73.4,clear sky,-31.95,141.43,Daydream Motel & Cottages
190,Cockburn Town,TC,82.4,scattered clouds,21.46,-71.14,Osprey Beach Hotel
191,Havelock,US,77.0,broken clouds,34.88,-76.9,Sherwood Motel
193,Kieta,PG,80.2,overcast clouds,-6.22,155.63,
194,Hualmay,PE,68.59,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
196,Zhuhai,CN,73.4,few clouds,22.28,113.57,珠海粤财假日酒店
197,San Clemente,US,60.01,clear sky,33.43,-117.61,Best Western Plus Casablanca Inn
200,Kokopo,PG,78.48,broken clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
203,Saint-Pierre,RE,73.4,few clouds,-21.34,55.48,Lindsey Hôtel
205,East London,ZA,61.34,light rain,-33.02,27.91,Tu Casa
207,Pathein,MM,73.04,clear sky,16.78,94.73,Pathein Hotel
208,Ponta Do Sol,PT,64.4,scattered clouds,32.67,-17.1,Hotel do Campo
211,Kutum,SD,69.87,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
213,Lagoa,PT,65.52,overcast clouds,39.05,-27.98,Casa Das Faias
214,Samarai,PG,79.84,light rain,-10.62,150.67,Nuli Sapi
215,That Phanom,TH,63.34,overcast clouds,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
219,Airai,TL,61.79,overcast clouds,-8.93,125.41,Juvinal Martin
220,Aracati,BR,83.37,clear sky,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
223,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
225,Wanning,CN,70.81,overcast clouds,18.8,110.4,Paradise Hotel
226,Qalyub,EG,68.0,broken clouds,30.18,31.21,هاني حافظ العمده للدواجن
227,Pak Phanang,TH,79.05,overcast clouds,8.35,100.2,Green Park Inn Hotel
228,Kihei,US,84.2,scattered clouds,20.79,-156.47,Maui Sunset
229,Ancud,CL,66.2,smoke,-41.87,-73.82,Hotel Arena Gruesa
230,Chapais,CA,60.8,clear sky,49.78,-74.85,Hôtel Opémiska
233,Port Pirie,AU,64.4,few clouds,-33.18,138.02,John Pirie Motor Inn
234,San Angelo,US,79.0,few clouds,31.46,-100.44,"Motel 6 San Angelo, TX"
236,Traverse City,US,78.8,scattered clouds,44.76,-85.62,Bayshore Resort
237,Marzuq,YE,66.25,clear sky,14.4,46.47,
238,Yola,NG,80.78,clear sky,9.2,12.48,Muna Hotel
240,Safaga,EG,71.6,clear sky,26.73,33.94,Lamar Resort Abu Soma
241,Ios,GR,64.99,overcast clouds,36.73,25.28,Ios Palace Hotel & Spa
244,San Andres,CO,77.0,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
246,Richards Bay,ZA,69.49,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
247,Puerto Del Rosario,ES,69.8,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
250,Abnub,EG,69.8,clear sky,27.27,31.15,مسجد الخطبة
251,Sao Filipe,CV,81.18,overcast clouds,14.9,-24.5,Tortuga B&B
254,Xai-Xai,MZ,76.91,broken clouds,-25.05,33.64,Platinum Hotel
255,Neuquen,AR,80.6,scattered clouds,-38.95,-68.06,Hotel del Comahue
256,Guerrero Negro,MX,67.68,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
261,Pedernales,DO,82.4,scattered clouds,18.04,-71.74,Hotel Costa Marina
262,Tabuk,PH,72.75,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
263,Mbala,ZM,70.81,overcast clouds,-8.84,31.37,Lake Chila Lodge
266,Gushikawa,JP,69.8,scattered clouds,26.35,127.87,Kirari Guest House
270,Punta De Bombon,PE,65.68,overcast clouds,-17.17,-71.79,Hotel Bedregal
271,Bathsheba,BB,75.2,scattered clouds,13.22,-59.52,Atlantis Hotel
272,Praya,CV,80.6,clear sky,14.92,-23.51,LT Aparthotel
273,Neiafu,TO,78.8,few clouds,-18.65,-173.98,Mystic Sands
274,Bahir Dar,ET,62.06,clear sky,11.59,37.39,"Delano Hotel, Bahir Dar"
275,Lamut,PH,71.29,overcast clouds,16.65,121.22,Tourism building
276,Kattivakkam,IN,78.8,haze,13.22,80.32,St. Joseph Thirumana mandapam
277,Moroto,UG,70.03,overcast clouds,2.53,34.67,"Kara-Tunga, Karamoja Safari Camp"
282,Gigmoto,PH,80.35,overcast clouds,13.78,124.39,Cj's Travellers Inn
283,Lorengau,PG,80.73,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
286,Yarmouth,US,69.8,clear sky,41.71,-70.23,The Inn At Cape Cod
287,Kudahuvadhoo,MV,83.64,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
289,Narasannapeta,IN,67.71,clear sky,18.42,84.05,G.lingaraju home
290,Vila Velha,BR,80.6,light rain,-20.33,-40.29,Hotel Vitória Palace
291,San Policarpo,PH,79.56,light rain,12.18,125.51,Zal-Ann Beach Resort
292,Port Lincoln,AU,73.22,broken clouds,-34.73,135.87,Port Lincoln Hotel
295,Gamba,GA,74.43,overcast clouds,-2.65,10.0,
298,Baculin,PH,77.04,moderate rain,7.45,126.58,Shovy's Cove
299,San Rafael Del Sur,NI,78.8,scattered clouds,11.85,-86.44,Hospedaje El Chino
300,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
301,Arona,ES,71.01,few clouds,28.1,-16.68,Paradise Court
302,Umm Lajj,SA,77.4,clear sky,25.02,37.27,Moon light Furnished Units
303,Avon Lake,US,78.8,clear sky,41.51,-82.03,Hampshire Highlands
304,Dokri,PK,71.28,clear sky,27.37,68.1,Juneja house
305,Hithadhoo,MV,83.41,moderate rain,-0.6,73.08,Scoop Guest House
307,Winston-Salem,US,75.99,clear sky,36.1,-80.24,Winston-Salem Marriott
308,Vao,NC,70.09,broken clouds,-22.67,167.48,Hotel Kou-Bugny
310,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
311,Alofi,NU,77.0,scattered clouds,-19.06,-169.92,Taloa Heights
312,Dera Ismail Khan,PK,64.56,scattered clouds,31.83,70.9,Haji Ayub Residence
313,Gorontalo,ID,73.31,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
314,Sale,MA,64.0,scattered clouds,34.04,-6.82,Hôtel Mercure Rabat Sheherazade
319,Le Port,RE,71.6,broken clouds,-20.94,55.29,Villa Maido
320,Ribeira Grande,PT,66.2,shower rain,38.52,-28.7,Quinta da Meia Eira
322,Mae Hong Son,TH,66.99,clear sky,19.3,97.97,Baiyoke Chalet Hotel
324,Axim,GH,78.76,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
