City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nichinan,JP,31.6,131.37,56.25,72,86,8.1,overcast clouds
1,San Pedro,PH,14.35,121.02,78.01,94,90,3.36,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.8,37,0,16.11,clear sky
3,Trelew,AR,-43.25,-65.31,79.56,38,95,16.69,overcast clouds
4,Arraial Do Cabo,BR,-22.97,-42.03,80.6,83,75,11.41,broken clouds
5,Puerto Ayora,EC,-0.74,-90.35,77.0,69,40,13.87,scattered clouds
6,Tarsus,TR,36.92,34.88,64.4,59,0,2.24,clear sky
7,Lebu,CL,-37.62,-73.65,56.86,77,0,21.0,clear sky
8,Hovd,MN,48.01,91.64,32.83,73,12,7.52,few clouds
9,Slavyanka,RU,42.86,131.38,26.2,82,0,6.64,clear sky
10,Ust-Koksa,RU,50.27,85.61,24.91,91,94,5.21,overcast clouds
11,Faanui,PF,-16.48,-151.75,78.33,81,100,15.14,light rain
12,Bluff,NZ,-46.6,168.33,48.99,86,2,4.0,clear sky
13,Broome,US,42.25,-75.83,69.8,37,1,8.05,clear sky
14,Esperance,AU,-33.87,121.9,53.6,81,0,17.22,clear sky
15,Westport,US,41.14,-73.36,73.99,48,1,5.82,clear sky
16,Tocopilla,CL,-22.09,-70.2,67.96,48,16,7.02,few clouds
17,Carnarvon,AU,-24.87,113.63,66.2,55,10,14.99,clear sky
18,Port Alfred,ZA,-33.59,26.89,61.54,60,100,7.02,overcast clouds
19,Georgetown,MY,5.41,100.34,77.0,94,20,4.7,few clouds
20,Hambantota,LK,6.12,81.12,75.2,100,20,2.24,light rain
21,Gizo,SB,-8.1,156.84,82.6,74,100,6.2,light rain
22,Morgantown,US,39.63,-79.96,75.99,36,1,3.36,clear sky
23,Moron,AR,-34.65,-58.62,71.01,62,100,3.0,light rain
24,Vila Franca Do Campo,PT,37.72,-25.43,64.4,82,40,11.41,scattered clouds
25,Zhigansk,RU,66.77,123.37,-9.35,87,100,22.91,overcast clouds
26,Flinders,AU,-34.58,150.86,54.0,84,0,1.01,clear sky
27,Yakuplu,TR,40.99,28.68,63.0,77,0,9.17,clear sky
28,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,90,13.87,overcast clouds
29,Sayyan,YE,15.17,44.32,53.6,43,0,7.16,clear sky
30,Jiayuguan,CN,39.82,98.3,32.95,71,0,1.12,clear sky
31,Manzanillo,CU,20.34,-77.12,85.23,72,26,10.29,scattered clouds
32,Bilibino,RU,68.05,166.44,-3.42,90,97,1.5,overcast clouds
33,Bredasdorp,ZA,-34.53,20.04,51.8,71,18,1.12,few clouds
34,Solnechnyy,RU,50.72,136.63,9.36,88,49,2.21,scattered clouds
35,Hilo,US,19.73,-155.09,82.4,65,75,8.05,broken clouds
36,Geraldton,AU,-28.77,114.6,59.0,67,40,6.93,scattered clouds
37,Souillac,MU,-20.52,57.52,73.4,73,40,10.29,scattered clouds
38,Pimentel,PE,-6.84,-79.93,73.4,56,0,20.8,clear sky
39,Thompson,CA,55.74,-97.86,17.6,85,75,12.75,light snow
40,Punta Arenas,CL,-53.15,-70.92,51.8,71,75,12.75,broken clouds
41,Shreveport,US,32.53,-93.75,82.0,65,90,11.41,overcast clouds
42,Hofn,IS,64.25,-15.21,48.2,100,90,12.75,light intensity drizzle
43,Rikitea,PF,-23.12,-134.97,73.98,76,57,16.33,broken clouds
44,Kelcyre,AL,40.31,20.19,53.01,92,0,3.29,clear sky
45,Yumen,CN,40.28,97.2,28.36,82,0,2.35,clear sky
46,Cidreira,BR,-30.18,-50.21,66.83,91,100,17.52,moderate rain
47,Busselton,AU,-33.65,115.33,46.99,98,42,20.18,scattered clouds
48,Mataura,NZ,-46.19,168.86,48.99,86,15,4.0,few clouds
49,Barrow,US,71.29,-156.79,8.6,78,75,10.29,broken clouds
50,Peniche,PT,39.36,-9.38,60.01,88,0,4.09,clear sky
51,Waw,SS,7.7,28.0,77.74,45,1,3.96,clear sky
52,Goderich,CA,43.75,-81.72,73.4,38,0,11.41,clear sky
53,Saskylakh,RU,71.92,114.08,8.8,94,100,28.19,snow
54,Vaini,TO,-21.2,-175.2,77.0,78,20,6.93,few clouds
55,Nanortalik,GL,60.14,-45.24,27.52,95,100,12.68,overcast clouds
56,Avera,US,33.19,-82.53,80.6,61,75,8.05,broken clouds
57,Port Elizabeth,ZA,-33.92,25.57,57.2,71,0,8.05,clear sky
58,Kruisfontein,ZA,-34.0,24.73,54.0,82,0,7.16,clear sky
59,Castro,BR,-24.79,-50.01,81.14,49,29,2.59,scattered clouds
60,Shiyan,CN,32.65,110.78,53.01,51,0,1.34,clear sky
61,Ust-Nera,RU,64.57,143.2,-16.55,79,51,3.13,broken clouds
62,Glens Falls,US,43.31,-73.64,69.01,45,1,5.82,clear sky
63,Hermanus,ZA,-34.42,19.23,54.0,78,65,7.38,broken clouds
64,Vestmannaeyjar,IS,63.44,-20.27,47.64,89,100,26.06,light rain
65,Hobart,AU,-42.88,147.33,54.0,76,0,6.93,clear sky
66,Katsuura,JP,35.13,140.3,53.6,54,75,10.29,broken clouds
67,Brighton,GB,50.83,-0.14,57.0,100,89,5.01,overcast clouds
68,Kapaa,US,22.08,-159.32,80.6,78,40,14.99,scattered clouds
69,Alta Floresta,BR,-9.88,-56.09,85.57,59,100,2.17,overcast clouds
70,Road Town,VG,18.42,-64.62,84.2,74,40,11.41,scattered clouds
71,Okhotsk,RU,59.38,143.3,3.04,87,98,18.19,overcast clouds
72,Lyuban,BY,52.8,28.0,35.98,87,0,4.85,clear sky
73,Florida,US,28.75,-82.5,77.0,94,90,9.17,overcast clouds
74,Henties Bay,NA,-22.12,14.28,59.0,79,0,7.0,clear sky
75,Roma,US,43.21,-75.46,73.4,33,1,2.8,clear sky
76,Kuusamo,FI,65.97,29.18,30.2,86,75,8.05,broken clouds
77,Lata,PT,40.16,-8.33,60.01,88,0,0.96,clear sky
78,Avarua,CK,-21.21,-159.78,78.8,78,3,9.64,clear sky
79,Albany,US,42.6,-73.97,70.0,36,0,3.13,clear sky
80,Belmonte,BR,-15.86,-38.88,80.6,65,20,16.11,few clouds
81,Codrington,AU,-38.27,141.97,65.44,51,0,12.71,clear sky
82,Kodiak,US,57.79,-152.41,42.8,52,1,3.36,clear sky
83,Dikson,RU,73.51,80.55,6.15,95,100,9.48,overcast clouds
84,Kasaragod,IN,12.5,75.0,78.8,88,20,3.36,mist
85,Port Blair,IN,11.67,92.75,80.65,83,34,13.15,scattered clouds
86,Victoria,HK,22.29,114.16,73.0,74,100,1.99,overcast clouds
87,Capim Grosso,BR,-11.38,-40.01,82.45,44,10,8.48,clear sky
88,Karwar,IN,14.8,74.13,74.57,56,0,7.61,clear sky
89,Nikolskoye,RU,59.7,30.79,41.0,75,0,17.9,clear sky
90,Beringovskiy,RU,63.05,179.32,37.38,87,98,10.07,light rain
91,Faya,SA,18.39,42.45,64.4,82,0,4.92,clear sky
92,Sharan,RU,54.82,54.0,32.14,94,100,13.04,overcast clouds
93,Nabire,ID,-3.37,135.48,75.85,86,71,3.83,broken clouds
94,Hyderabad,IN,17.38,78.47,64.4,68,0,5.48,clear sky
95,Orlovskiy,RU,46.87,42.06,46.42,67,72,2.51,broken clouds
96,Qaanaaq,GL,77.48,-69.36,-6.52,69,0,7.0,clear sky
97,Ahipara,NZ,-35.17,173.17,59.34,81,38,10.11,scattered clouds
98,Cabo San Lucas,MX,22.89,-109.91,84.2,53,5,20.8,clear sky
99,Dinguiraye,GN,11.3,-10.72,75.31,32,0,1.68,clear sky
100,Yellowknife,CA,62.46,-114.35,26.6,79,75,7.7,broken clouds
101,Clyde River,CA,70.47,-68.59,-2.2,70,1,13.87,clear sky
102,Upernavik,GL,72.79,-56.15,-0.56,81,54,7.74,broken clouds
103,Torbay,CA,47.67,-52.73,37.99,84,90,14.99,shower rain
104,Asau,RO,46.43,26.4,41.0,97,72,2.21,broken clouds
105,Mombetsu,JP,44.35,143.35,34.0,83,100,8.99,overcast clouds
106,Erzin,TR,36.96,36.2,70.0,50,1,4.0,clear sky
107,Bonavista,CA,48.65,-53.11,36.0,79,80,4.7,broken clouds
108,Verkhnevilyuysk,RU,63.45,120.32,12.09,96,100,7.87,snow
109,Butaritari,KI,3.07,172.79,82.4,73,100,11.77,overcast clouds
110,Cayenne,GF,4.93,-52.33,87.8,62,75,12.75,broken clouds
111,Naryan-Mar,RU,67.67,53.09,24.55,97,74,5.66,broken clouds
112,Port Hedland,AU,-20.32,118.57,75.2,78,0,11.41,clear sky
113,Atuona,PF,-9.8,-139.03,77.95,71,20,12.86,few clouds
114,Bianzhuang,CN,34.85,118.04,46.15,54,0,1.63,clear sky
115,Ahuimanu,US,21.44,-157.84,82.4,74,75,9.17,broken clouds
116,New Norfolk,AU,-42.78,147.06,54.0,68,100,3.27,overcast clouds
117,Ginir,ET,7.13,40.7,57.58,69,0,5.68,clear sky
118,Mar Del Plata,AR,-38.0,-57.56,73.4,53,75,10.29,broken clouds
119,Hit,IQ,33.64,42.83,68.14,51,7,5.35,clear sky
120,Pavlodar,KZ,52.3,76.95,37.4,86,90,20.13,overcast clouds
121,Cozumel,MX,20.51,-86.95,86.0,70,40,13.87,scattered clouds
122,Bethel,US,41.37,-73.41,75.2,27,1,6.93,clear sky
123,Waipawa,NZ,-41.41,175.52,50.0,93,100,26.4,moderate rain
124,Longyearbyen,SJ,78.22,15.64,23.0,73,75,4.7,light snow
125,Quang Ngai,VN,15.12,108.8,71.71,95,100,13.06,very heavy rain
126,Saint-Philippe,RE,-21.36,55.77,73.4,73,20,12.75,few clouds
127,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,70,20,13.87,few clouds
128,Luderitz,NA,-26.65,15.16,60.44,55,0,30.04,clear sky
129,Dehloran,IR,32.69,47.27,77.32,38,100,4.25,overcast clouds
130,Aurangabad,IN,19.88,75.33,63.01,43,0,4.63,clear sky
131,Tilichiki,RU,60.47,166.1,4.14,92,1,11.41,clear sky
132,Sinop,TR,41.77,34.87,48.25,75,2,1.34,clear sky
133,Hami,CN,42.8,93.45,40.75,56,79,10.63,broken clouds
134,Chany,RU,55.31,76.76,32.23,94,38,12.71,scattered clouds
135,Tambopata,PE,-12.73,-69.18,93.2,56,20,4.7,few clouds
136,Tuatapere,NZ,-46.13,167.68,48.99,86,18,4.0,few clouds
137,Ust-Tsilma,RU,65.44,52.15,29.08,97,94,7.31,overcast clouds
138,Brzeziny,PL,51.8,19.75,44.01,87,90,4.7,overcast clouds
139,Mopti,ML,14.67,-4.0,82.65,14,0,10.02,clear sky
140,Sterling,US,39.01,-77.43,75.99,53,20,11.41,few clouds
141,Beloha,MG,-25.17,45.05,78.3,40,0,8.1,clear sky
142,Rey Bouba,CM,8.67,14.18,78.71,35,0,1.57,clear sky
143,Bengkulu,ID,-3.8,102.27,75.92,81,92,2.21,overcast clouds
144,Frutal,BR,-20.02,-48.94,94.05,30,69,6.8,moderate rain
145,Saint Anthony,US,45.02,-93.22,55.4,87,90,18.34,moderate rain
146,Celestun,MX,20.87,-90.4,79.34,82,18,14.56,light rain
147,Laguna,US,38.42,-121.42,55.0,32,1,8.05,clear sky
148,Chuy,UY,-33.7,-53.46,66.78,69,99,12.28,overcast clouds
149,Jamestown,US,42.1,-79.24,71.6,37,1,5.82,clear sky
150,Kamenka,RU,51.32,42.77,30.99,84,30,7.2,scattered clouds
151,Ronne,DK,55.1,14.71,48.2,81,28,6.93,scattered clouds
152,Rawson,AR,-43.3,-65.1,74.61,46,96,12.48,overcast clouds
153,Koungou,YT,-12.73,45.2,77.0,88,0,3.36,clear sky
154,Nepa Nagar,IN,21.47,76.4,64.72,38,0,2.26,clear sky
155,Izazi,TZ,-7.2,35.73,69.8,60,40,14.99,scattered clouds
156,Narsaq,GL,60.92,-46.05,24.8,85,75,2.24,broken clouds
157,Kahului,US,20.89,-156.47,84.2,54,40,3.36,scattered clouds
158,Cape Town,ZA,-33.93,18.42,57.99,54,20,14.99,few clouds
159,Springdale,US,36.19,-94.13,75.99,60,75,14.99,broken clouds
160,Tautira,PF,-17.73,-149.15,80.6,69,75,3.36,broken clouds
161,Melbourne,US,28.08,-80.61,81.0,94,90,13.87,mist
162,Praia,CV,14.92,-23.51,80.6,65,0,18.34,clear sky
163,Chokurdakh,RU,70.63,147.92,-17.9,90,57,2.77,broken clouds
164,Bonthe,SL,7.53,-12.51,79.39,80,35,4.59,scattered clouds
165,Zeya,RU,53.75,127.27,4.69,86,1,2.01,clear sky
166,Tiarei,PF,-17.53,-149.33,80.6,69,75,3.36,broken clouds
167,Berezovka,BY,53.72,25.5,36.05,85,0,1.23,clear sky
168,Mahebourg,MU,-20.41,57.7,73.4,73,40,10.29,scattered clouds
169,Aquiraz,BR,-3.9,-38.39,86.0,66,20,16.11,few clouds
170,Kavaratti,IN,10.57,72.64,83.03,79,82,10.13,broken clouds
171,Lerwick,GB,60.15,-1.15,51.8,93,90,11.41,overcast clouds
172,Pavia,IT,45.18,9.16,54.0,89,0,0.65,clear sky
173,Tumpat,MY,6.2,102.17,75.2,94,20,3.36,few clouds
174,Lulea,SE,65.58,22.15,28.4,86,0,6.76,clear sky
175,Ubinskoye,RU,55.31,79.68,35.8,87,100,15.5,overcast clouds
176,Newport,GB,51.59,-3.0,57.0,97,100,1.01,overcast clouds
177,Straumen,NO,63.87,11.3,44.01,87,0,8.05,clear sky
178,Nanakuli,US,21.39,-158.15,82.4,65,40,5.82,scattered clouds
179,Angoche,MZ,-16.23,39.91,79.34,78,0,10.94,clear sky
180,Klaksvik,FO,62.23,-6.59,50.0,100,100,13.87,light rain
181,Neubrandenburg,DE,53.57,13.27,44.01,96,35,7.74,scattered clouds
182,Okha,RU,53.57,142.95,29.1,96,100,15.05,overcast clouds
183,Tasiilaq,GL,65.61,-37.64,31.37,97,100,37.4,overcast clouds
184,Carballo,ES,43.21,-8.69,53.01,100,40,3.36,scattered clouds
185,Te Anau,NZ,-45.42,167.72,48.81,77,55,0.94,broken clouds
186,Longonjo,AO,-12.91,15.25,68.47,63,18,2.75,few clouds
187,Katakwi,UG,1.89,33.97,70.84,65,71,5.21,broken clouds
188,Tenango,MX,18.65,-98.18,79.0,36,5,4.7,clear sky
189,Broken Hill,AU,-31.95,141.43,73.4,38,0,10.29,clear sky
190,Cockburn Town,TC,21.46,-71.14,82.4,78,40,14.99,scattered clouds
191,Havelock,US,34.88,-76.9,77.0,73,75,10.29,broken clouds
192,Muros,ES,42.78,-9.06,55.99,91,2,1.01,clear sky
193,Kieta,PG,-6.22,155.63,80.2,77,100,2.44,overcast clouds
194,Hualmay,PE,-11.1,-77.61,68.59,66,89,10.25,overcast clouds
195,Ostrovnoy,RU,68.05,39.51,35.1,88,96,20.78,overcast clouds
196,Zhuhai,CN,22.28,113.57,73.4,78,20,11.41,few clouds
197,San Clemente,US,33.43,-117.61,60.01,47,0,1.99,clear sky
198,Fernley,US,39.61,-119.25,34.0,54,0,4.21,clear sky
199,Camapua,BR,-19.53,-54.04,93.76,35,100,8.99,light rain
200,Kokopo,PG,-4.35,152.26,78.48,82,63,3.83,broken clouds
201,Kabarnet,KE,0.49,35.74,59.0,93,0,9.17,clear sky
202,Gazanjyk,TM,39.24,55.52,52.38,52,0,6.29,clear sky
203,Saint-Pierre,RE,-21.34,55.48,73.4,73,20,12.75,few clouds
204,Kushiro,JP,42.98,144.37,33.1,92,54,13.04,broken clouds
205,East London,ZA,-33.02,27.91,61.34,81,100,9.37,light rain
206,Oranjemund,NA,-28.55,16.43,59.0,66,0,27.11,clear sky
207,Pathein,MM,16.78,94.73,73.04,92,0,5.91,clear sky
208,Ponta Do Sol,PT,32.67,-17.1,64.4,68,40,5.82,scattered clouds
209,Khatanga,RU,71.97,102.5,21.76,98,95,12.12,light snow
210,Coos Bay,US,43.37,-124.22,48.99,70,75,10.29,broken clouds
211,Kutum,SD,14.2,24.67,69.87,30,41,8.05,scattered clouds
212,Cherskiy,RU,68.75,161.3,1.72,93,97,5.59,overcast clouds
213,Lagoa,PT,39.05,-27.98,65.52,82,100,15.86,overcast clouds
214,Samarai,PG,-10.62,150.67,79.84,83,100,13.85,light rain
215,That Phanom,TH,16.94,104.71,63.34,71,96,5.93,overcast clouds
216,Lasa,IT,46.62,10.7,44.01,80,5,5.82,clear sky
217,Pacific Grove,US,36.62,-121.92,57.0,28,1,3.36,clear sky
218,Rio Gallegos,AR,-51.62,-69.22,53.6,62,40,8.05,scattered clouds
219,Airai,TL,-8.93,125.41,61.79,84,100,2.33,overcast clouds
220,Aracati,BR,-4.56,-37.77,83.37,69,4,15.17,clear sky
221,Queanbeyan,AU,-35.35,149.23,48.0,100,0,4.7,clear sky
222,Dormidontovka,RU,47.77,134.91,11.48,88,1,10.85,clear sky
223,Hamilton,US,39.18,-84.53,79.0,44,1,4.76,clear sky
224,Xingyi,CN,24.19,102.82,44.98,93,0,2.66,clear sky
225,Wanning,CN,18.8,110.4,70.81,85,100,16.49,overcast clouds
226,Qalyub,EG,30.18,31.21,68.0,68,69,10.29,broken clouds
227,Pak Phanang,TH,8.35,100.2,79.05,83,100,9.24,overcast clouds
228,Kihei,US,20.79,-156.47,84.2,54,40,3.36,scattered clouds
229,Ancud,CL,-41.87,-73.82,66.2,52,0,10.29,smoke
230,Chapais,CA,49.78,-74.85,60.8,72,1,11.41,clear sky
231,Pangnirtung,CA,66.15,-65.71,14.0,72,75,3.36,broken clouds
232,Tiksi,RU,71.69,128.87,-9.33,86,0,5.44,clear sky
233,Port Pirie,AU,-33.18,138.02,64.4,45,17,6.93,few clouds
234,San Angelo,US,31.46,-100.44,79.0,60,20,20.8,few clouds
235,Severo-Kurilsk,RU,50.68,156.12,37.81,80,100,23.87,overcast clouds
236,Traverse City,US,44.76,-85.62,78.8,44,40,17.22,scattered clouds
237,Marzuq,YE,14.4,46.47,66.25,51,0,3.22,clear sky
238,Yola,NG,9.2,12.48,80.78,30,0,2.13,clear sky
239,Juegang,CN,32.32,121.19,55.0,70,0,0.81,clear sky
240,Safaga,EG,26.73,33.94,71.6,43,0,5.82,clear sky
241,Ios,GR,36.73,25.28,64.99,72,100,27.51,overcast clouds
242,Caraballeda,VE,10.61,-66.85,86.0,70,75,6.93,broken clouds
243,Awbari,LY,26.59,12.78,57.83,56,43,0.63,scattered clouds
244,San Andres,CO,12.58,-81.7,77.0,100,75,4.7,light intensity drizzle
245,Atagay,RU,55.1,99.39,35.15,95,100,3.69,light rain
246,Richards Bay,ZA,-28.78,32.04,69.49,78,100,11.99,light rain
247,Puerto Del Rosario,ES,28.5,-13.86,69.8,83,20,16.11,few clouds
248,Umaria,IN,23.53,80.83,56.86,41,0,2.48,clear sky
249,Heinola,FI,61.21,26.04,35.6,93,0,4.7,clear sky
250,Abnub,EG,27.27,31.15,69.8,46,0,9.17,clear sky
251,Sao Filipe,CV,14.9,-24.5,81.18,72,100,5.35,overcast clouds
252,Kabelvag,NO,68.21,14.48,37.4,59,75,8.05,broken clouds
253,Gikongoro,RW,-2.46,29.57,59.07,89,91,3.29,overcast clouds
254,Xai-Xai,MZ,-25.05,33.64,76.91,83,77,16.64,broken clouds
255,Neuquen,AR,-38.95,-68.06,80.6,36,40,12.75,scattered clouds
256,Guerrero Negro,MX,27.98,-114.06,67.68,53,71,16.51,broken clouds
257,Hohhot,CN,40.81,111.65,26.6,58,0,6.71,clear sky
258,Lompoc,US,34.64,-120.46,57.2,33,1,13.87,clear sky
259,Albacete,ES,38.83,-2.0,53.6,87,0,2.24,clear sky
260,Murgab,TM,37.5,61.97,48.2,66,0,4.7,clear sky
261,Pedernales,DO,18.04,-71.74,82.4,83,40,13.87,scattered clouds
262,Tabuk,PH,17.42,121.44,72.75,88,100,3.44,overcast clouds
263,Mbala,ZM,-8.84,31.37,70.81,42,93,7.0,overcast clouds
264,Srednekolymsk,RU,67.45,153.68,-8.63,91,100,6.51,overcast clouds
265,Sonoita,MX,31.85,-112.83,57.99,39,80,7.02,broken clouds
266,Gushikawa,JP,26.35,127.87,69.8,64,40,9.17,scattered clouds
267,Husavik,IS,66.04,-17.34,32.0,83,0,4.7,clear sky
268,Tramore,IE,52.16,-7.15,55.0,93,75,2.24,broken clouds
269,Nampa,US,43.54,-116.56,36.0,63,90,9.17,overcast clouds
270,Punta De Bombon,PE,-17.17,-71.79,65.68,72,93,5.48,overcast clouds
271,Bathsheba,BB,13.22,-59.52,75.2,83,40,20.8,scattered clouds
272,Praya,CV,14.92,-23.51,80.6,65,0,18.34,clear sky
273,Neiafu,TO,-18.65,-173.98,78.8,78,20,5.82,few clouds
274,Bahir Dar,ET,11.59,37.39,62.06,74,2,0.81,clear sky
275,Lamut,PH,16.65,121.22,71.29,87,96,0.56,overcast clouds
276,Kattivakkam,IN,13.22,80.32,78.8,65,100,3.36,haze
277,Moroto,UG,2.53,34.67,70.03,62,99,9.64,overcast clouds
278,Iqaluit,CA,63.75,-68.51,6.8,77,75,4.7,broken clouds
279,Aranos,NA,-24.13,19.12,77.95,38,20,11.39,few clouds
280,Shingu,JP,33.73,135.98,46.4,74,1,5.93,clear sky
281,Pocone,BR,-16.26,-56.62,88.77,43,100,7.36,overcast clouds
282,Gigmoto,PH,13.78,124.39,80.35,85,94,7.27,overcast clouds
283,Lorengau,PG,-2.02,147.27,80.73,77,67,1.21,broken clouds
284,Vardo,NO,70.37,31.11,35.6,80,75,32.21,shower rain
285,Bystrzyca Klodzka,PL,50.3,16.64,41.0,96,0,1.68,clear sky
286,Yarmouth,US,41.71,-70.23,69.8,52,1,4.7,clear sky
287,Kudahuvadhoo,MV,2.67,72.89,83.64,75,31,10.65,scattered clouds
288,Drumnadrochit,GB,57.33,-4.48,46.0,100,2,2.46,fog
289,Narasannapeta,IN,18.42,84.05,67.71,71,0,6.46,clear sky
290,Vila Velha,BR,-20.33,-40.29,80.6,74,20,17.22,light rain
291,San Policarpo,PH,12.18,125.51,79.56,85,100,5.66,light rain
292,Port Lincoln,AU,-34.73,135.87,73.22,39,54,18.14,broken clouds
293,San Patricio,US,28.02,-97.52,86.0,54,40,14.99,scattered clouds
294,Qinhuangdao,CN,39.93,119.59,43.34,56,0,5.17,clear sky
295,Gamba,GA,-2.65,10.0,74.43,87,100,2.39,overcast clouds
296,Sobolevo,RU,54.43,31.9,33.24,92,0,8.55,clear sky
297,Vostok,RU,46.49,135.88,2.77,95,75,3.94,broken clouds
298,Baculin,PH,7.45,126.58,77.04,77,73,5.5,moderate rain
299,San Rafael Del Sur,NI,11.85,-86.44,78.8,94,40,9.17,scattered clouds
300,Dakar,SN,14.69,-17.44,82.4,54,0,8.05,clear sky
301,Arona,ES,28.1,-16.68,71.01,73,20,14.99,few clouds
302,Umm Lajj,SA,25.02,37.27,77.4,59,0,9.4,clear sky
303,Avon Lake,US,41.51,-82.03,78.8,47,1,10.29,clear sky
304,Dokri,PK,27.37,68.1,71.28,22,0,1.36,clear sky
305,Hithadhoo,MV,-0.6,73.08,83.41,74,100,11.79,moderate rain
306,Dunedin,NZ,-45.87,170.5,53.01,70,6,5.19,clear sky
307,Winston-Salem,US,36.1,-80.24,75.99,53,1,5.82,clear sky
308,Vao,NC,-22.67,167.48,70.09,73,55,17.4,broken clouds
309,Ilulissat,GL,69.22,-51.1,15.8,72,75,5.82,broken clouds
310,Bambous Virieux,MU,-20.34,57.76,73.4,73,40,10.29,scattered clouds
311,Alofi,NU,-19.06,-169.92,77.0,78,40,10.29,scattered clouds
312,Dera Ismail Khan,PK,31.83,70.9,64.56,27,37,5.03,scattered clouds
313,Gorontalo,ID,0.54,123.06,73.31,81,89,2.1,overcast clouds
314,Sale,MA,34.04,-6.82,64.0,93,40,4.7,scattered clouds
315,Sitka,US,57.05,-135.33,42.8,81,90,5.82,light rain
316,Saint-Augustin,CA,51.23,-58.65,33.31,82,56,3.58,broken clouds
317,Inirida,CO,3.87,-67.92,88.16,61,80,1.45,light rain
318,Partizansk,RU,43.13,133.13,19.54,81,1,5.7,clear sky
319,Le Port,RE,-20.94,55.29,71.6,83,75,9.17,broken clouds
320,Ribeira Grande,PT,38.52,-28.7,66.2,82,75,21.92,shower rain
321,Skjervoy,NO,70.03,20.97,37.4,64,75,25.28,shower rain
322,Mae Hong Son,TH,19.3,97.97,66.99,73,0,2.08,clear sky
323,Vysokogornyy,RU,50.12,139.15,4.77,86,25,5.66,scattered clouds
324,Axim,GH,4.87,-2.24,78.76,86,69,7.34,light rain
325,Grand-Santi,GF,4.25,-54.38,93.11,39,8,4.16,clear sky
326,Huangmei,CN,30.19,116.03,54.19,56,0,5.06,clear sky
327,Dubai,AE,25.26,55.3,82.4,69,0,4.7,clear sky
328,Bergama,TR,39.12,27.18,60.8,72,20,13.87,few clouds
329,Keetmanshoop,NA,-26.58,18.13,69.8,19,0,14.99,clear sky
330,Poum,NC,-20.23,164.02,74.23,76,69,14.65,broken clouds
331,Bandarbeyla,SO,9.49,50.81,77.07,84,34,16.75,scattered clouds
332,Mehamn,NO,71.04,27.85,37.4,59,75,19.46,shower snow
333,Rundu,NA,-17.93,19.77,82.74,31,37,9.66,scattered clouds
334,Acapulco,MX,16.86,-99.89,86.0,66,20,10.29,few clouds
335,Turukhansk,RU,65.82,87.98,19.65,98,100,8.19,light snow
336,Upata,VE,8.01,-62.4,87.01,65,94,5.99,overcast clouds
337,Tucuman,AR,-26.82,-65.22,86.0,40,40,10.29,scattered clouds
338,Pestovo,RU,58.59,35.8,36.09,84,45,10.11,scattered clouds
339,Sinnai,IT,39.3,9.2,66.0,93,0,5.82,clear sky
340,Paita,PE,-5.09,-81.11,75.2,69,0,13.87,clear sky
341,Akyab,MM,20.15,92.9,78.28,79,0,6.24,clear sky
342,Ofaqim,IL,31.31,34.62,70.0,73,0,7.11,clear sky
343,Krasnoselkup,RU,65.7,82.47,8.28,95,83,4.9,broken clouds
